Solution,Cosine,BERT,File
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8880119688091995,0.7620722681183011,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.741788536747529,0.7163227604797723,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7553413008250911,0.741357503709774,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7802116916964984,0.7298231828909584,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.75737736930041,0.7217495038904727,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7692386375578968,0.734491230242979,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7697365099461655,0.7375249478472898,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7773157160059381,0.7162508754207466,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7753417508036062,0.7440930634836046,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7565276549922941,0.7371268477241901,06_SHAS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7418659128413723,0.7366343415537268,06_SHAS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.809742234189898,0.7791153321989374,06_SHAS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8032159078128488,0.7786649668424331,06_SHAS.docx
